,click_model
0,0
1,0
2,0
3,0.666666667
4,0
5,0.058823529
6,
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,
15,0
16,
17,0
18,1
19,1.5
20,
21,0
22,1.333333333
23,0
24,0
25,0.04
26,0.083333333
27,0.4
28,0
29,0
30,0
31,0
32,
33,0
34,
35,0
36,0
37,
38,1.5
39,0
40,0
41,0
42,0.8
43,0
44,0
45,0
46,0.125
47,0
48,
49,0
50,0
51,0
52,0.2
53,5
54,0
55,0
56,0
57,0
58,0
59,1
60,0
61,0
62,0
63,3.5
64,0
65,0
66,0
67,3
68,0.222222222
69,
70,0.8
71,0.5
72,0.06779661
73,
74,0
75,
76,0.25
77,0
78,0.08
79,0.142857143
80,0.136363636
81,0
82,0.125
83,0
84,1.142857143
85,0
86,0.352941176
87,0
88,11
89,0
90,0
91,inf
92,0
93,
94,0
95,0
96,0
97,0
98,0
99,1.5
100,0
101,0
102,0.222222222
103,0.6
104,0
105,0
106,1
107,0
108,1
109,0
110,0
111,0.272727273
112,0
113,
114,0.130434783
115,0.777777778
116,inf
117,0.041666667
118,0
119,0
120,7
121,0
122,0
123,0
124,0.142857143
125,0
126,3
127,0
128,0
129,0
130,0
131,0
132,0
133,0.111111111
134,
135,0
136,0
137,1
138,27
139,0
140,0
141,0.9
142,0
143,0.25
144,0.004950495
145,0
146,0.666666667
147,0.25
148,0
149,0.111111111
150,0
151,0
152,1
153,0
154,0
155,0
156,0.310344828
157,0.05
158,3
159,0
160,
161,0
162,7
163,0.052631579
164,0
165,0
166,0
167,0
168,0
169,2.333333333
170,0
171,
172,0
173,
174,0
175,0
176,0.1
177,
178,0.3
179,
180,0.5
181,4.818181818
182,
183,0
184,0
185,1
186,0.5
187,0.714285714
188,0
189,0
190,0.222222222
191,0
192,0.4
193,0
194,0.6
195,0
196,0
197,0
198,0.142857143
199,
200,0.6
201,2.666666667
202,0.666666667
203,0
204,0
205,0
206,0
207,1
208,0
209,0
210,inf
211,0
212,0
213,0
214,0.515151515
215,0
216,0
217,
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,inf
229,0
230,0
231,0
232,
233,0
234,0.0625
235,0
236,0.5
237,0
238,3.5
239,0
240,
241,0
242,0.181818182
243,0
244,0
245,0
246,0
247,0.25
248,0
249,0
250,0
251,0
252,5
253,0
254,0.333333333
255,0
256,0
257,1
258,0.3125
259,
260,0.285714286
261,
262,0
263,0
264,0
265,0
266,0
267,
268,0
269,0
270,
271,0
272,0
273,inf
274,0
275,0.076923077
276,
277,0
278,0
279,0.0625
280,0
281,inf
282,0.025641026
283,0
284,0
285,0
286,1
287,0
288,0
289,0.25
290,0
291,0
292,0
293,0.125
294,0.75
295,0
296,0
297,2.75
298,0
299,0
300,0
301,
302,0
303,0
304,0.023255814
305,0
306,1
307,0.2
308,0
309,0
310,
311,0
312,2.5
313,0
314,1.333333333
315,0.5
316,0
317,
318,0
319,0.285714286
320,inf
321,0.066666667
322,0
323,0
324,0
325,0
326,0.2
327,0
328,inf
329,0
330,0
331,0
332,0
333,0.1
334,0
335,0
336,0
337,
338,27
339,0
340,0
341,0
342,inf
343,0
344,0
345,
346,0
347,0.5
348,0
349,0
350,0
351,0
352,0
353,0.192307692
354,0
355,0
356,0
357,0.333333333
358,0
359,4
360,0.470588235
361,0
362,0
363,10
364,0.333333333
365,0
366,0.2
367,0
368,0
369,0
370,
371,0
372,0
373,0
374,0.111111111
375,0
376,0
377,0
378,
379,0
380,0
381,0
382,0
383,1
384,0.583333333
385,0
386,0.5
387,
388,0
389,0
390,0.058823529
391,0
392,inf
393,0.25
394,0
395,0
396,inf
397,
398,0
399,3
400,0
401,0
402,0
403,5.666666667
404,0
405,3.333333333
406,0
407,0.333333333
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0.7
419,0
420,2
421,0
422,0
423,0
424,0
425,0.03125
426,0
427,
428,0.25
429,0
430,0.533333333
431,0
432,0
433,0
434,0
435,2
436,0
437,0.34375
438,7.090909091
439,0.2
440,1
441,0
442,0.125
443,0.111111111
444,0
445,0
446,0
447,
448,0.097087379
449,0
450,0.047619048
451,2
452,0
453,0
454,0
455,0
456,0
457,1.111111111
