,consumer_model
0,0
1,0
2,0
3,1.060299588
4,0
5,0.149233629
6,
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,
15,0
16,
17,0
18,1.575941606
19,2.524990713
20,
21,0
22,1.774545422
23,0
24,0
25,0.092501838
26,0.205738562
27,0.699070794
28,0
29,0
30,0
31,0
32,
33,0
34,
35,0
36,0
37,
38,3.990559026
39,0
40,0
41,0
42,1.530599343
43,0
44,0
45,0
46,0.261814107
47,0
48,
49,0
50,0
51,0
52,0.384739848
53,7.648773039
54,0
55,0
56,0
57,0
58,0
59,2.055947323
60,0
61,0
62,0
63,6.29666017
64,0
65,0
66,0
67,5.086217904
68,0.359249616
69,
70,1.260818117
71,1.059461845
72,0.128593014
73,
74,0
75,
76,0.705063163
77,0
78,0.15349329
79,0.253028337
80,0.266525509
81,0
82,0.349809468
83,0
84,2.30511587
85,0
86,0.646189675
87,0
88,12.40526925
89,0
90,0
91,inf
92,0
93,
94,0
95,0
96,0
97,0
98,0
99,3.709671704
100,0
101,0
102,0.391012186
103,0.787637452
104,0
105,0
106,2.507084237
107,0
108,2.004582015
109,0
110,0
111,0.565111262
112,0
113,
114,0.275298896
115,1.452473291
116,inf
117,0.092232904
118,0
119,0
120,20.74472992
121,0
122,0
123,0
124,0.300733431
125,0
126,4.338787899
127,0
128,0
129,0
130,0
131,0
132,0
133,0.21652085
134,
135,0
136,0
137,2.322045827
138,66.23259955
139,0
140,0
141,1.753177415
142,0
143,0.53231728
144,0.01246673
145,0
146,0.941785702
147,0.332759639
148,0
149,0.202478989
150,0
151,0
152,2.05343539
153,0
154,0
155,0
156,0.507316081
157,0.121068047
158,4.37285181
159,0
160,
161,0
162,11.72544341
163,0.123633749
164,0
165,0
166,0
167,0
168,0
169,3.802475386
170,0
171,
172,0
173,
174,0
175,0
176,0.229382839
177,
178,0.539256792
179,
180,0.866456724
181,7.870703952
182,
183,0
184,0
185,2.146422949
186,0.833473246
187,1.176601091
188,0
189,0
190,0.631111857
191,0
192,0.794835892
193,0
194,1.086565004
195,0
196,0
197,0
198,0.317046834
199,
200,1.060791027
201,4.649108045
202,0.965941725
203,0
204,0
205,0
206,0
207,1.973518203
208,0
209,0
210,inf
211,0
212,0
213,0
214,1.092187736
215,0
216,0
217,
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,inf
229,0
230,0
231,0
232,
233,0
234,0.153740529
235,0
236,0.3701466
237,0
238,6.85114135
239,0
240,
241,0
242,0.388472357
243,0
244,0
245,0
246,0
247,0.547324658
248,0
249,0
250,0
251,0
252,4.848323362
253,0
254,0.621958821
255,0
256,0
257,2.805917265
258,0.461366827
259,
260,0.619742278
261,
262,0
263,0
264,0
265,0
266,0
267,
268,0
269,0
270,
271,0
272,0
273,inf
274,0
275,0.173877798
276,
277,0
278,0
279,0.141296536
280,0
281,inf
282,0.046734705
283,0
284,0
285,0
286,1.325763427
287,0
288,0
289,0.427011422
290,0
291,0
292,0
293,0.269945423
294,1.983597051
295,0
296,0
297,3.892648423
298,0
299,0
300,0
301,
302,0
303,0
304,0.048210113
305,0
306,2.234221003
307,0.342749069
308,0
309,0
310,
311,0
312,2.955758251
313,0
314,2.152290166
315,0.924311376
316,0
317,
318,0
319,0.684032015
320,inf
321,0.144831368
322,0
323,0
324,0
325,0
326,0.291439346
327,0
328,inf
329,0
330,0
331,0
332,0
333,0.253839127
334,0
335,0
336,0
337,
338,51.46323156
339,0
340,0
341,0
342,inf
343,0
344,0
345,
346,0
347,0.815545403
348,0
349,0
350,0
351,0
352,0
353,0.435914481
354,0
355,0
356,0
357,0.769742353
358,0
359,3.385998828
360,1.113714286
361,0
362,0
363,10.48172154
364,0.586370457
365,0
366,0.328100988
367,0
368,0
369,0
370,
371,0
372,0
373,0
374,0.221414445
375,0
376,0
377,0
378,
379,0
380,0
381,0
382,0
383,1.027787337
384,1.264490877
385,0
386,1.279660469
387,
388,0
389,0
390,0.116615997
391,0
392,inf
393,0.72236462
394,0
395,0
396,inf
397,
398,0
399,4.604840725
400,0
401,0
402,0
403,6.702681417
404,0
405,3.906011598
406,0
407,0.634649118
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,1.593827683
