,order_ability
0,2.977106096
1,3.63572499
2,3.204138655
3,3.369373325
4,2.168819381
5,2.470146383
6,
7,2.491403197
8,3.011491575
9,2.836625151
10,5.393710075
11,2.727343584
12,2.74793386
13,5.518595179
14,
15,3.48113866
16,
17,3.423351581
18,2.767931284
19,3.160500687
20,
21,2.082820532
22,2.998766464
23,2.096102446
24,2.430519704
25,2.471961406
26,2.143559393
27,2.579328902
28,2.604230842
29,2.885552968
30,3.007829895
31,2.390636805
32,
33,2.979873022
34,
35,3.39499121
36,2.571334487
37,
38,1.751840138
39,3.652124807
40,3.722706232
41,3.38851782
42,2.710483684
43,2.378868652
44,2.903506387
45,2.544625947
46,2.732267
47,2.755133601
48,
49,2.619915935
50,2.666488948
51,2.333855407
52,2.809907006
53,3.307372057
54,2.754076165
55,2.643874021
56,2.401690416
57,4.070415071
58,3.611898931
59,2.087918621
60,2.374098941
61,2.86716537
62,3.33366339
63,2.386095489
64,2.351363336
65,2.187941582
66,2.263705182
67,2.572700095
68,2.904153762
69,
70,2.655554578
71,2.100907389
72,2.386245337
73,
74,3.156161479
75,
76,2.271191248
77,3.170151111
78,2.497923627
79,2.930319876
80,2.344507146
81,2.769080052
82,1.63557828
83,4.646799213
84,2.471699237
85,4.226565505
86,2.634528082
87,2.357466723
88,3.88452629
89,3.234589916
90,3.015638623
91,
92,2.302748253
93,
94,2.869674488
95,2.863128915
96,3.286324036
97,2.432117166
98,2.298611585
99,2.372040521
100,2.285634598
101,2.339792843
102,3.067063917
103,2.942415602
104,3.070415071
105,3.075913754
106,2.282639043
107,2.65419371
108,2.442861158
109,2.921825081
110,2.860402888
111,2.433877794
112,3.45929124
113,
114,2.992679026
115,2.974691958
116,
117,2.522661275
118,2.093369922
119,2.163630318
120,1.750545815
121,1.742109471
122,2.407248056
123,2.177099922
124,2.718481727
125,4.290140745
126,3.455045757
127,2.6544124
128,2.619307012
129,2.191663447
130,3.043276213
131,1.746332183
132,3.250351353
133,2.823018043
134,
135,2.825641683
136,2.180805571
137,2.464537218
138,1.969436383
139,2.360206055
140,2.771960589
141,2.936191233
142,2.423854654
143,2.955030185
144,2.498552868
145,2.598755525
146,3.521579757
147,3.347403808
148,2.501091629
149,3.547446707
150,2.128850807
151,2.616004931
152,2.866304018
153,1.96869898
154,2.921572375
155,2.639738513
156,2.975219938
157,2.363451169
158,4.069526815
159,3.917372536
160,
161,2.892050923
162,2.648551923
163,2.619542726
164,1.607547771
165,2.765681183
166,5.643349495
167,2.541099887
168,2.498031138
169,2.700385339
170,2.645683211
171,
172,2.576682096
173,
174,1.787056139
175,2.94707318
176,2.585987942
177,
178,2.779773455
179,
180,3.024474218
181,2.887498911
182,
183,3.778878017
184,3.352530324
185,2.31402031
186,2.442371172
187,2.54584131
188,2.523701871
189,2.644200251
190,2.015056902
191,2.958273623
192,2.183747106
193,2.973547189
194,2.592166642
195,2.113282753
196,2.932618795
197,2.861353116
198,2.772647536
199,
200,3.315019802
201,2.697199432
202,3.652500487
203,2.02913041
204,2.724410394
205,3.355049198
206,3.198042079
207,2.866612068
208,2.65403257
209,2.187977145
210,
211,2.203757513
212,3.288915207
213,2.470187589
214,2.108296238
215,2.590811624
216,3.249932822
217,
218,2.435826519
219,3.04173276
220,2.283677691
221,2.630444599
222,2.35372994
223,3.543959311
224,2.931011849
225,2.646014837
226,1.981451714
227,2.064773582
228,
229,3.42065481
230,2.343126419
231,2.288789663
232,
233,4.351249219
234,2.326471917
235,2.681351052
236,8.01278814
237,4.014660051
238,2.820082213
239,2.763188743
240,
