,active_ability
0,2.666666667
1,0
2,0
3,3.333333333
4,0
5,3.666666667
6,0
7,3.666666667
8,1.333333333
9,0
10,0.333333333
11,0
12,0
13,1.666666667
14,0
15,0
16,0.333333333
17,0.333333333
18,0
19,0
20,0
21,17.33333333
22,6.333333333
23,7
24,9
25,17.33333333
26,2
27,2.333333333
28,0
29,4.333333333
30,1.666666667
31,6
32,0
33,0
34,1
35,0
36,0
37,0
38,11
39,0
40,11.33333333
41,0
42,5.666666667
43,0
44,4.666666667
45,4.333333333
46,0.666666667
47,2.666666667
48,4.666666667
49,6.666666667
50,20
51,5.333333333
52,0.333333333
53,0.666666667
54,1.666666667
55,2
56,20
57,1
58,1
59,0.333333333
60,0.333333333
61,0
62,3.666666667
63,2
64,0
65,3
66,6
67,4
68,0.666666667
69,1.333333333
70,8.333333333
71,15
72,9
73,1
74,1.666666667
75,0
76,4
77,0.333333333
78,5
79,9.666666667
80,4.666666667
81,12
82,1.666666667
83,0
84,1.333333333
85,1
86,5
87,0
88,7.333333333
89,0
90,3
91,1
92,22.33333333
93,0
94,1.333333333
95,1
96,0.333333333
97,16
98,7.666666667
99,0
100,0
101,0.333333333
102,4.333333333
103,4
104,0
105,0.333333333
106,4
107,9.666666667
108,0
109,16
110,25.33333333
111,0
112,2.333333333
113,0
114,0
115,2
116,0.333333333
117,1.666666667
118,3.333333333
119,0
120,0
121,1.666666667
122,0.666666667
123,3.333333333
124,1.666666667
125,3
126,1
127,6.666666667
128,4.333333333
129,0
130,0
131,1
132,2.666666667
133,2
134,0
135,0
136,0
137,1.666666667
138,3
139,1.333333333
140,0.666666667
141,0
142,3.333333333
143,6.333333333
144,14
145,0.333333333
146,1
147,3
148,0
149,12
150,0
151,0
152,1.333333333
153,3.666666667
154,1.333333333
155,0
156,0.666666667
157,8
158,2
159,2
160,0
161,4.666666667
162,2.333333333
163,1
164,0.666666667
165,4
166,2
167,12
168,0
169,0
170,2
171,0.666666667
172,4
173,3
174,6.666666667
175,1
176,6
177,4.333333333
178,3.666666667
179,0.666666667
180,0.333333333
181,3
182,3.666666667
183,2
184,3.666666667
185,1.666666667
186,1.333333333
187,0.666666667
188,1
189,1.666666667
190,0
191,0
192,0.666666667
193,10.66666667
194,0
195,1
196,0.666666667
197,1
198,0.666666667
199,5.666666667
200,5.333333333
201,0.666666667
202,1.666666667
203,2
204,10.66666667
205,3
206,2
207,13
208,0.333333333
209,0
210,1.666666667
211,0
212,0.666666667
213,0
214,5
215,0.666666667
216,0.666666667
217,0
218,5
219,0
220,4.666666667
221,0
222,0
223,0
224,1.666666667
225,0
226,0
227,0.333333333
228,3.333333333
229,0.333333333
230,0
231,1.666666667
232,1
233,1.333333333
234,3.333333333
235,2
236,14.66666667
237,0
238,9
239,0
240,0
241,0
242,0
243,2.333333333
244,0.333333333
245,0
246,2
247,1
248,3
249,0
250,7.666666667
251,0.333333333
252,10.66666667
253,0.666666667
254,4.666666667
255,0.666666667
256,0.333333333
257,0.666666667
258,0.333333333
259,0
260,0.666666667
261,2.666666667
262,5
263,0.666666667
264,0
265,1
266,0
267,0
268,6.333333333
269,0.333333333
270,0
271,0.666666667
272,0
273,2
274,0
275,1
276,3
277,5
278,1.333333333
279,8.666666667
280,0.666666667
281,2.333333333
282,3
283,0
284,5
285,5.666666667
286,4.666666667
287,0.333333333
288,1.666666667
289,0
290,0
291,2.333333333
292,0
293,2.333333333
294,3
295,0
296,5.666666667
297,1.333333333
298,1
299,0
300,0
301,0
302,1
303,1
304,4.333333333
305,0
306,1.333333333
307,3.666666667
308,2
309,0
310,0.333333333
311,2.666666667
312,3
313,4.666666667
314,1.666666667
315,1.333333333
316,12.66666667
317,2.666666667
318,0
319,0
320,2
321,0.666666667
322,1.333333333
323,8.333333333
324,0.333333333
325,1.333333333
326,0
327,0
328,2.666666667
329,1.333333333
330,1.666666667
331,2
332,0
333,7.666666667
334,0.333333333
335,0.333333333
336,2.333333333
337,0
338,2.333333333
339,0
340,3.666666667
341,0
342,0
343,2
344,0
345,0.333333333
346,1.333333333
347,8.333333333
348,0
349,9
350,0
351,0
352,2.666666667
353,1
354,14.66666667
355,12.66666667
356,11.66666667
357,4.333333333
358,3.666666667
359,2.666666667
360,10.66666667
361,7.666666667
362,5
363,7
364,5
365,4.666666667
366,3.333333333
367,5
368,0
369,0
370,0
371,0.333333333
372,3.666666667
373,0
374,1.333333333
375,1.666666667
376,0
377,1
378,0
379,5.333333333
380,7.666666667
381,0
382,2.333333333
383,3.666666667
384,2
385,0
386,3.333333333
387,18
388,13.33333333
389,15
390,1
391,4.666666667
392,4.666666667
393,0.666666667
394,0
395,0
396,0
397,6.666666667
398,0.333333333
399,1
400,0
401,1.666666667
402,1
403,9.666666667
404,1.666666667
405,2.666666667
406,0
407,1.333333333
408,0
409,0
410,1.333333333
411,0
412,0.333333333
413,0.333333333
414,0
415,8
416,1.333333333
417,1
418,25
419,1
420,1.333333333
421,0.666666667
422,1.333333333
423,0
424,0
425,1
426,0
427,0.666666667
428,0.666666667
429,1.666666667
430,1
431,1
432,0.666666667
433,1.666666667
434,0.666666667
435,6.333333333
436,1.666666667
437,3.333333333
438,3.333333333
439,2.333333333
440,0.333333333
441,0
442,0.333333333
443,7.333333333
444,1.333333333
445,0.333333333
446,1.333333333
447,0
448,2
449,0
450,2.333333333
451,1
452,0
453,0.666666667
454,12.33333333
455,0
456,3
457,11.33333333
458,0
459,3
460,2.666666667
461,6.333333333
462,2.666666667
463,1.333333333
464,1.333333333
465,7.666666667
466,7.666666667
467,0
468,16.66666667
469,3.666666667
470,0
471,13.33333333
472,0.666666667
473,0
474,0
475,3.666666667
476,9.666666667
477,0
478,3.333333333
479,0.666666667
480,4
481,50.66666667
482,0
483,5.666666667
484,1
485,9
486,1.666666667
487,1.333333333
488,8.333333333
489,1.666666667
490,0
491,0
492,1
493,0.333333333
494,0
495,1
496,0
497,0
498,1.333333333
499,3.333333333
500,4.666666667
501,0
502,8.666666667
503,2.666666667
504,0
505,0.333333333
506,0
507,0
508,3.333333333
509,0.333333333
510,3.666666667
511,0
512,2.666666667
513,0
514,6
515,6.333333333
516,0
517,0
518,0.666666667
519,1
520,0
521,3.666666667
522,0
523,2
524,12
525,1.333333333
526,1
527,1.666666667
528,0
529,1.666666667
530,0
531,0
532,3
533,0
534,0
535,1.666666667
536,2.666666667
537,1
538,8.666666667
539,0.333333333
540,1
541,0.333333333
542,0
543,1.333333333
544,6
545,1
546,2
547,0
548,0
549,0
550,3.666666667
551,1.666666667
552,6.666666667
553,1.333333333
554,12
555,4.666666667
556,4.666666667
557,7
558,1.666666667
559,2.666666667
560,0.333333333
561,18
562,4.333333333
563,0.333333333
564,14
565,0.666666667
566,0
567,0
568,2.333333333
569,0
570,16.66666667
571,8.333333333
572,1.333333333
573,1.666666667
574,1.666666667
575,1.666666667
576,0
577,6.333333333
578,6.666666667
579,4.333333333
580,0.333333333
581,5
582,4.333333333
583,2.666666667
584,0
585,3
586,2.333333333
587,0
588,2.333333333
589,9
590,1.333333333
591,4.666666667
592,0
593,4.666666667
594,0
595,0.333333333
596,5.333333333
597,1.333333333
598,2.333333333
599,1
600,0
601,3
602,2.666666667
603,0
604,0
605,2.333333333
606,0
607,0
608,0
609,2.333333333
610,1.666666667
611,0.333333333
612,8.666666667
613,3.666666667
614,6
615,2
616,4.333333333
617,3
618,0.666666667
619,3
620,0
621,1.333333333
622,5
623,0
624,7.333333333
625,1.333333333
626,6.666666667
627,0
628,0.666666667
629,0.333333333
630,10
631,0
632,4
633,3
634,0
635,3.333333333
636,6.666666667
637,4
638,8.666666667
639,1
640,1.666666667
641,2
642,0
643,0.666666667
644,0
645,0
646,2
647,12.66666667
648,3
649,3.333333333
650,4.666666667
651,0
652,4
653,17
654,0
655,0
656,0
657,0.333333333
658,1
659,9
660,3.666666667
661,1.666666667
662,9
663,0
664,3.666666667
665,2.333333333
666,0.666666667
667,1
668,2.333333333
669,0.666666667
670,0
671,1.333333333
672,1
673,2
674,0
675,16.66666667
676,0.333333333
677,0
678,0
679,0
680,2
681,3
682,0
683,0.333333333
684,12.66666667
685,1.666666667
686,0
687,2.666666667
688,1.666666667
689,0.666666667
690,0.666666667
691,2.666666667
692,4
693,4.333333333
694,0
695,13.33333333
696,4.333333333
697,0
698,0
699,2.333333333
700,0.666666667
701,0.333333333
702,0.666666667
703,21.33333333
704,0
705,0
706,0.333333333
707,1.666666667
708,2.333333333
709,0
710,0.666666667
711,2
712,12.33333333
713,8.666666667
714,0
715,0
716,2.333333333
717,0
718,0.333333333
719,0.666666667
720,2
721,0
722,1.666666667
723,0.333333333
724,10
725,0
726,0
727,6.666666667
728,1.333333333
729,10
730,20.33333333
731,1.666666667
732,0
733,0
734,0
735,0
736,2.333333333
737,0
738,0.333333333
739,0
740,11.66666667
741,0
742,4.333333333
743,0.333333333
744,2.333333333
745,6
746,10.66666667
747,12.33333333
748,3
749,0
750,1.333333333
751,0
752,1.666666667
753,0.333333333
754,0
755,19.33333333
756,0
757,1.333333333
758,0
759,0
760,1
761,2
762,3
763,1.666666667
764,4.333333333
765,0
766,3
767,2
768,3.666666667
769,1.333333333
770,2.333333333
771,0.333333333
772,0
773,2.333333333
774,30
775,3
776,0
777,2.333333333
778,0
779,2.333333333
780,3
781,1.666666667
782,0
783,0
784,1
785,7.333333333
786,1.666666667
787,0
788,0
789,0
790,17.33333333
791,0
792,2.666666667
793,0
794,3.666666667
795,1
796,4
797,3
798,0
799,24.33333333
800,0.666666667
801,0.666666667
802,0
803,1.666666667
804,6.666666667
805,1
806,1.333333333
807,0
808,3.333333333
809,2
810,0
811,3
812,0.333333333
813,1
814,0
815,0
816,8
817,2.666666667
818,1
819,1.333333333
820,0.666666667
821,1
822,0
823,0.333333333
824,0
825,1
826,0.666666667
827,1
828,7.333333333
829,0
830,0
831,29.33333333
832,5.666666667
833,0.666666667
834,0
835,1
836,1
837,0
838,1.333333333
839,0
840,0.333333333
841,6.333333333
842,0
843,0
844,0.666666667
845,0
846,4.333333333
847,1.333333333
848,0.666666667
849,4
850,0
851,0
852,1.666666667
853,13.66666667
854,3.666666667
855,0.333333333
856,0
857,12.66666667
858,32
859,0.333333333
860,0.333333333
861,0.666666667
862,5.666666667
863,2
864,0
865,2.333333333
866,8
867,27.33333333
868,7.333333333
869,4
870,0
871,0
872,1.333333333
873,3.333333333
874,0
875,1.333333333
876,0
877,3
878,5
879,1
880,1.666666667
881,1
882,0
883,1
884,1.333333333
885,6
886,0
887,0
888,3
889,1.666666667
890,0.333333333
891,0
892,0.333333333
893,1.333333333
894,0.333333333
895,0
896,3
897,0.333333333
898,0
899,0
900,0
901,0.666666667
902,10.33333333
903,4.666666667
904,41
905,0
906,0
907,6
908,22
909,1.333333333
910,0
911,2.333333333
912,4
913,0.333333333
914,0.666666667
915,7.333333333
916,7
917,1.666666667
918,10.33333333
919,5.666666667
920,0.666666667
921,0
922,0.333333333
923,0
924,0
925,19.33333333
926,9.333333333
927,4.333333333
928,6.333333333
929,3
930,5
931,4
932,0.666666667
933,3
934,0
935,7.333333333
936,3.666666667
937,0
938,8.666666667
939,2.333333333
940,0
941,2
942,5.333333333
943,0
944,4.333333333
945,1.333333333
946,1.333333333
947,4.333333333
948,0
949,0
950,0.666666667
951,16
952,0.666666667
953,1.666666667
954,0
955,12
956,0.333333333
957,1.666666667
958,11.66666667
959,2
960,0
961,0
962,1
963,28.66666667
964,0.666666667
965,40.66666667
966,0.666666667
967,3.666666667
968,6.666666667
969,3.333333333
970,0.333333333
971,7
972,0
973,6.666666667
974,0
975,0
976,2.666666667
977,4
978,0
979,1
980,6.333333333
981,2
982,13
983,0
984,12.33333333
985,0
986,0
987,0
988,0
989,0.333333333
990,11.66666667
991,3
992,1
993,0
994,1.666666667
995,0.666666667
996,2.666666667
997,3
998,8.666666667
999,0.666666667
1000,1.666666667
1001,0
1002,3.666666667
1003,0
1004,16.66666667
1005,1
1006,0
1007,4.666666667
1008,0
1009,2
1010,1.333333333
1011,1.333333333
1012,3.666666667
1013,2
1014,3.333333333
1015,0
1016,5.333333333
1017,3.333333333
1018,2.333333333
1019,2.333333333
1020,1.333333333
1021,3.666666667
1022,3.333333333
1023,6.666666667
1024,0
1025,4.666666667
1026,2.666666667
1027,0
1028,1.333333333
1029,0
1030,2
1031,0.333333333
1032,5
1033,0
1034,5.666666667
1035,3
1036,1.666666667
1037,2.333333333
1038,0
1039,0
1040,0
1041,0
1042,1
1043,3
1044,3
1045,0.666666667
1046,2
1047,0
1048,10.33333333
1049,1.666666667
1050,0
1051,4.666666667
1052,3.333333333
1053,0
1054,0
1055,0.666666667
1056,0
1057,0
1058,8
1059,1.333333333
1060,0.333333333
1061,7
