loan_price_sum9,loan_price_sum10,loan_price_sum11
0,0,0
0,0,0
0,0,0
0,10.98957887,4.723016822
0,0,6.584074882
6.266691431,0,6.266691431
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,5.657311097
0,0,0
8.724196145,0,5.885770109
17.30806792,0,0
0,0,0
0,0,0
7.72518909,20.85486388,3.862594545
0,0,0
0,0,0
0,5.716524366,0
5.292153929,0,0
4.723016822,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
14.40281071,9.267824494,29.30182857
0,0,0
0,0,0
0,0,0
5.07059257,9.949961795,5.292153929
0,0,0
0,0,16.73769065
0,0,0
5.722768363,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
20.14380011,5.153538105,0
0,0,0
0,0,6.722718659
0,0,5.722768363
0,0,0
0,0,0
4.292650699,0,5.292153929
0,0,4.974842946
0,0,0
0,0,0
0,25.32584804,3.862594545
0,0,0
0,0,0
0,0,0
18.05602017,4.455523524,10.55897996
0,3.862594545,0
0,0,6.153413856
7.72518909,4.723016822,4.292650699
0,26.70997463,8.87709826
13.81176361,4.292650699,21.53664273
0,0,0
0,0,0
0,0,0
6.405333138,0,0
0,0,0
9.585362908,0,3.862594545
5.722768363,4.657587153,5.292153929
3.862594545,5.657311097,5.657311097
0,0,0
0,4.8616016,0
0,0,0
19.308504,15.03032581,0
0,0,0
14.06414106,9.723203201,23.84030701
0,0,0
4.292650699,17.10520759,13.47126264
0,0,0
0,0,0
13.3817833,12.01783979,9.015667521
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
11.58420846,6.014774739,6.292054527
0,0,0
0,0,0
0,10.79333431,0
7.72518909,3.862594545,5.153538105
0,0,0
0,0,0
0,0,0
0,0,0
4.292650699,5.501180385,5.501180385
0,0,0
0,0,0
15.12952928,0,0
0,0,0
0,0,0
6.316422771,6.316422771,6.316422771
16.35509145,16.94671711,26.43617126
5.722768363,11.38007946,5.722768363
0,5.584137011,0
0,0,0
0,0,0
25.8235205,21.07789782,43.08237482
