uid,score
26308,5.568474627
78209,0
51930,0
10113,0
17067,0
46744,0.012345985
31747,0
48366,0
49725,0
31333,0
87746,5.967330082
51229,3.889939341
18211,0
21994,5.746727273
61139,0
2967,0
47349,0
44467,0
20195,5.672958073
3113,6.137624876
72060,4.644883483
9329,0
73019,1.985691579
56754,0
57116,0
42194,4.321872606
90012,0
55859,0
27555,6.140269963
24650,0
45006,0
73677,0
51982,5.496045324
57983,0
76294,0
69813,0
88516,0
85791,4.193136069
45045,0
56129,0
33117,0
28440,0
58670,0
88719,0
61037,0
68554,0
15262,0
33795,0
76391,0
42049,0
30824,0
21346,0
84626,0
23424,5.67498989
83304,0
40257,0
88791,6.146137746
16328,0
75941,3.872619974
35619,0
14325,6.263708563
21887,6.400046192
73623,0
28906,5.714141315
38199,0
29378,0
47214,0
9199,0
21596,3.865352804
50614,0
79958,0
1024,0
2950,0
42103,5.26538853
36518,0
57183,3.840119689
14923,0
84448,0
71134,0
4507,5.359234787
82427,0
65309,0
45886,4.780568021
86356,0
14653,0
2821,0
46866,0
13246,0
8079,0
60744,3.878698424
63010,6.682227242
79120,0
12951,0
73140,0
6857,0
46811,0
797,0
61560,6.12196854
27274,0
9552,0
63438,0
30219,0
19959,0
77531,0
80931,0
1208,0
45806,0
19451,0
72312,0
55240,0
59004,0
67508,6.119080676
6746,0
66514,0
82131,0
21502,0
26827,0
15131,0
78548,0
82033,6.674134523
44222,0
90609,0
62631,0
63679,6.011208316
47786,0
55319,5.708422849
3995,0
27280,0
15093,6.264191896
24466,0
40446,0
7304,0
66292,0
6059,0
15556,0
25660,0
55435,5.319461401
45119,0
8735,0
9549,0
77425,0
90864,0
34309,0
29133,0
49416,0
229,0.007295051
56006,0
19246,6.213523616
47781,5.772096213
9711,0
9692,0
41022,0
44133,4.683624022
69143,0
60431,0
35329,0
21254,0
46781,6.316070999
69435,0
79111,0
45796,0
13441,0
14080,5.072569671
146,0
15955,5.710670274
15699,5.053648489
77931,5.899162546
63551,0
60929,0
29590,0.005680467
32152,5.318812729
35226,4.755256806
42025,0
28282,0
56302,6.126390156
44015,0
38820,5.159835503
66386,0
79977,0
25666,0
30839,0
69769,5.391951539
57462,0
36076,6.680463358
69281,0
6163,0
71365,0
50408,6.397613619
16253,4.713221029
14148,0
19804,5.621960492
23622,0
35882,4.168029556
50842,0
72992,5.692380867
19863,4.866561546
28849,0
7517,0
32157,0
10608,0
65931,0
35089,0
11305,5.297119195
82920,0.00715346
42083,0
15472,0
21426,0
50443,5.542018111
43461,0
77868,0
69023,0
51191,0
67587,0
50569,0
73035,0
82973,0
87164,0
11573,4.554132017
15511,0
20223,0
18464,0
51194,0
21043,5.683465681
81789,4.966737453
58706,0
4945,0
82434,0
19986,0
45271,0
35903,6.711398774
61689,0
32710,0
61210,0
69936,0
68082,0
26666,5.283793985
18819,0
57594,0
52926,0
43267,0
58647,0
37485,0
87226,0
37702,0
44449,0
31503,6.147552355
72815,0
13716,0
50116,0
45987,6.894967233
33464,0
73258,0
63730,0
45679,4.958038753
60542,0
90767,0
85953,0
62009,0
88576,0
38006,5.184597112
14916,0
215,5.472918973
16112,6.711099783
70505,0
46958,0
9475,0
50922,0
52832,4.697423364
70756,5.503928036
86376,0
48705,0
40924,0
14389,5.39098636
57124,0
75479,5.871592366
16966,0
54672,5.613565001
15608,0
66681,0
37377,4.476583966
17852,0
63855,5.038271194
12103,0
88142,0
75924,0
39453,0
46931,6.200903109
7256,0
73767,5.966342165
19486,0
38835,0
67321,0
90673,0
42178,0
84878,0
13663,5.20563837
21991,0
61770,0.005903771
22308,0
45365,0
58088,0
8797,0
28664,6.262764019
18447,6.772102631
13800,0
83157,0
37283,4.456750933
66528,5.988561202
71196,0
29120,4.455223293
53138,6.151746123
73447,0
85897,1.504319015
76219,0
77018,0.005365813
27435,0
10505,5.3882176
37511,0
29637,4.262305217
87114,0
16149,0
21524,0
53781,0
7152,0
15507,0
45900,0
52618,0
17310,0
54176,0
24387,0
32032,0
35500,6.272020491
12036,5.848766614
75544,0
80796,0
65737,0
34296,5.498797653
33155,0
69860,5.963102886
67783,0
43426,0
36562,0
23694,0
76734,0
70759,0
