uid,month,loan_sum
4,Nov-16,4.723016822
5,Nov-16,6.584074882
6,Nov-16,6.266691431
17,Nov-16,5.657311097
19,Nov-16,5.885770109
23,Nov-16,3.862594545
39,Nov-16,5.464626106
43,Nov-16,5.292153929
45,Nov-16,6.292054527
56,Nov-16,6.722718659
57,Nov-16,5.722768363
60,Nov-16,5.292153929
61,Nov-16,4.974842946
64,Nov-16,3.862594545
68,Nov-16,5.781982259
70,Nov-16,6.153413856
71,Nov-16,4.292650699
72,Nov-16,4.885961244
73,Nov-16,5.351362178
79,Nov-16,3.862594545
80,Nov-16,5.292153929
81,Nov-16,5.657311097
87,Nov-16,5.931812567
89,Nov-16,5.240356826
92,Nov-16,4.974842946
100,Nov-16,6.292054527
104,Nov-16,5.153538105
115,Nov-16,6.316422771
116,Nov-16,6.735022479
117,Nov-16,5.722768363
121,Nov-16,6.464550799
126,Nov-16,6.328257629
133,Nov-16,6.949280367
138,Nov-16,6.153413856
139,Nov-16,6.316422771
142,Nov-16,6.584074882
150,Nov-16,6.405333138
159,Nov-16,6.362466936
170,Nov-16,5.292153929
172,Nov-16,4.974842946
177,Nov-16,5.931812567
181,Nov-16,4.723016822
182,Nov-16,5.45514134
183,Nov-16,5.153538105
188,Nov-16,5.153538105
191,Nov-16,6.316422771
193,Nov-16,4.544373396
201,Nov-16,6.292054527
202,Nov-16,6.104976146
203,Nov-16,4.723016822
215,Nov-16,5.153538105
216,Nov-16,5.781982259
235,Nov-16,5.405415974
236,Nov-16,5.722768363
239,Nov-16,6.629009152
241,Nov-16,5.292153929
258,Nov-16,7.014743673
259,Nov-16,4.723016822
261,Nov-16,5.722768363
266,Nov-16,5.722768363
276,Nov-16,6.153413856
283,Nov-16,5.153538105
287,Nov-16,5.292153929
295,Nov-16,6.266691431
298,Nov-16,5.153538105
315,Nov-16,4.723016822
316,Nov-16,4.723016822
321,Nov-16,4.292650699
325,Nov-16,6.153413856
334,Nov-16,6.74708738
339,Nov-16,6.781937074
343,Nov-16,5.722768363
348,Nov-16,4.723016822
354,Nov-16,6.584074882
358,Nov-16,4.974842946
361,Nov-16,5.153538105
367,Nov-16,4.292650699
368,Nov-16,4.8616016
385,Nov-16,4.836247821
387,Nov-16,4.723016822
389,Nov-16,6.684274102
393,Nov-16,5.226703564
394,Nov-16,6.292054527
