uid,age,sex,active_date,limit
1,35,1,2016/4/27,5.97467729
2,40,1,2016/3/30,6.153413856
3,30,2,2016/5/8,6.292054527
4,30,1,2016/3/26,5.292153929
5,30,2,2015/12/8,6.292054527
6,25,1,2016/4/13,6.292054527
7,30,1,2016/2/6,6.153413856
8,35,1,2016/4/15,6.153413856
9,40,1,2015/12/27,6.292054527
10,30,1,2016/2/13,5.292153929
11,25,1,2016/6/28,6.292054527
12,35,1,2016/6/20,6.153413856
13,30,1,2016/4/28,5.722768363
14,30,1,2016/1/28,5.97467729
15,30,1,2016/2/8,5.722768363
16,30,1,2016/6/15,5.97467729
17,30,2,2016/5/31,5.292153929
18,50,1,2016/3/24,5.722768363
19,50,1,2016/3/4,5.97467729
20,35,1,2016/1/28,6.292054527
21,25,1,2016/4/13,5.292153929
22,30,1,2016/1/30,5.292153929
23,35,1,2015/12/17,5.722768363
24,35,1,2016/1/28,6.292054527
25,25,1,2016/1/2,5.97467729
26,35,1,2016/6/18,6.292054527
27,30,1,2016/2/7,5.722768363
28,25,1,2016/4/5,6.153413856
29,35,1,2016/1/31,5.722768363
30,35,1,2016/2/14,5.97467729
31,35,1,2015/12/19,6.292054527
32,30,1,2016/6/6,5.97467729
33,40,1,2016/5/28,5.97467729
34,25,1,2016/4/19,5.722768363
35,25,1,2016/4/10,5.722768363
36,30,1,2016/3/18,6.292054527
37,35,1,2016/5/10,5.97467729
38,30,1,2016/1/20,5.97467729
39,35,1,2016/2/16,6.292054527
40,35,2,2016/1/31,6.292054527
41,35,1,2015/12/16,5.722768363
42,40,1,2016/2/18,5.97467729
43,40,1,2016/4/21,6.153413856
44,30,1,2016/1/29,5.292153929
45,35,1,2016/4/14,6.153413856
46,35,1,2016/4/15,6.153413856
47,40,1,2016/1/6,6.153413856
48,50,1,2016/6/8,5.97467729
49,30,1,2016/5/1,5.97467729
50,35,2,2016/2/5,5.722768363
51,35,1,2015/12/17,5.292153929
52,30,1,2016/3/24,5.97467729
53,25,1,2016/4/15,5.292153929
54,30,1,2016/6/29,6.292054527
55,35,1,2016/5/5,6.292054527
56,35,1,2015/12/26,6.292054527
57,35,1,2016/1/25,6.292054527
58,25,1,2016/5/20,5.722768363
59,40,1,2015/12/30,5.292153929
60,30,1,2016/6/20,6.292054527
61,30,1,2016/4/27,5.292153929
62,40,1,2016/6/29,6.292054527
63,30,1,2016/5/13,6.292054527
64,25,1,2016/4/25,5.292153929
65,40,1,2016/2/5,5.722768363
66,25,1,2016/2/12,5.97467729
67,25,2,2016/4/1,5.722768363
68,25,1,2016/6/18,5.292153929
69,40,1,2016/6/16,6.153413856
